DATETIME_OCCURRED,INC_ID,VEHICLE_ID,ROUTE,DELAY_MINUTES,SYMP_SYMPTOM,DESCRIPTION
6/23/2018 12:35:00 PM,2464800,6110,15,15,0022,CK ENG/OP SAYS HE DOESN?T FEEL ITS SAFE TO CONTINUE/HE SAID NO LEAKS BUT BUS JERKS ETC/ST/PAX BOARDED OTHER BUSES/ST/LX T/T391-MUST BE SENT TO GARAGE//LX TAKING BUS TO PLATTE
6/22/2018 11:13:00 PM,2464508,LRV262,101,3,3136,DEADMAN INOP USED HAND DEADMAN   CAB B
6/22/2018 10:06:00 PM,2464503,5055,112,17,0505,NO START; DROPPED 1 TRIP; -17 MIN
6/22/2018 7:46:00 PM,2464490,3650,FF,69,0620,BELT BROKE CALLED BOULDER MAINTENANCE TO CK OUT//REPAIRED ENOUGH TO MAKE IT TO PLATTE BUT NEEDS TRADE //CURTAILED TRIP AND CANCELLED NEXT ONE // GOT TRADE ARRANGED WITH RR AND WILL
6/22/2018 5:00:00 PM,2464398,9317,15L,27,0022, HISP MALE DK SLEEPER ON BACK OF BUS GRAY PANTS WHITE BB CAP //CALLED SS30 AND SCC1 TO INTERVENE // BUS STALLED ALL PAX EXITED// STOP ENG LIGHT CK ENG LIGHT LEAKING // CALLED EM SE
6/22/2018 3:33:00 PM,2464391,6322,16,15,0047,CURTAILED TRIP //CALLED MLX 20 TO TRADE AND CALLED FOLLOWER 2070 TO ACCOMMODATE PAX
6/22/2018 1:16:00 PM,2464251,5208,BOND,10,0160,RIGHT OUTSIDE DUAL BLEW OUT; FTLMA ADVISED; LX (5229) ON ROUTE AT BJDS 152 PM
6/22/2018 10:11:00 AM,2464222,6008,43,48,0405,COOLANT LEAK/ST T391/GOOD TO GO 1111/RESP 11 LARIMERE/1141/
6/22/2018 10:25:00 AM,2464197,5109,30,45,0505,NO START; DROPPED 1 TRIP; -45 MIN
6/22/2018 7:07:00 AM,2464112,1991,FF,32,0022,CHECK TRANS LIGHTý UNABLE TO GO 45MPH/ BOULDER T288 WILL MEET AT TABLE MESA / NO NLX/ CANCELLED TRIP/ RESPACED CCS 843AM
6/22/2018 7:19:00 AM,2464111,5183,92,23,0505,NO START; -23 MIN
6/22/2018 6:02:00 AM,2464093,6016,48,57,0022,CHECK ENGINE STOP ENGINE / LOW COOLANT LIGHT SIDE TRACKED @ 72 AND COLO / T-391 IN ROUTE TO FILL / FAULTY COOLANT SENSORS DISCONNECTED TO TRADE OUT @ PLATTE / DEAD HEAD TO PLATTE T
6/22/2018 7:00:00 AM,2464087,6159,52,77,0022,FIRE ALARM; DROPPED 1 TRIP; -77 MIN
6/22/2018 5:11:00 AM,2464049,5008,51,34,0405,COOLANT LEAK; -34 MIN
6/21/2018 3:36:00 PM,2463817,5197,228,41,0405,COOLANT LEAK -41 MINS
6/21/2018 3:16:00 PM,2463815,5131,483,61,0625,OIL LEAK -61 MINS
6/21/2018 8:41:00 PM,2463783,6266,153,15,0012,OPERATOR CLEARED
6/21/2018 4:07:00 PM,2463763,2299,FF,38,0022,STOP ENG LIGHT BUS ST/ BLDR RR/ MLX 6 ON SPACE AT 458PM
6/21/2018 3:29:00 PM,2463762,6030,16L,23,0405,LOW COOLANT STOP ENG BUS ST/ MLX 5 5142 ON APSCE AT 411PM/ T391
6/21/2018 5:14:00 PM,2463742,6041,131,15,0022,LOW OIL/ MLX 15 TRADED/ T287
6/21/2018 3:04:00 PM,2463734,5029,52,9,0305,THE AIR PRESSURE KEEPS GOING ALL THE WAY UP TO 150. HEADING BACK TO HAVE A MECHANIC LOOK AT IT.
6/21/2018 5:48:00 PM,2463701,LRV285,101,6,3100,LRV285 C-TRUCK. FRICTN BRAKE FAULT. STOPPED TRAIN. KEY OUT/IN TO CLEAR. KEPT RECURRING. KEY OUT/IN CLEARED EACH TIME. CUT OFF AT OSAGE SB AND PULLED LRV INTO MARIPOSA. CONTINUED RE
6/21/2018 4:59:00 PM,2463684,6036,0,60,0022,CHK ENG LIGHT / STOP ENG LIGHT / PAXS TRFR TO FOLLOWER / SIDE TRACKED / AT I-25 / MLX20 / BUS 6335 TO TRADE / CALLED DUS / OP RESPACED TO BRDWY & COLFAX SB TRIP @6:15PM
6/21/2018 3:22:00 PM,2463604,6315,12,27,0610,THE ENGINE STALLED OUT. THE FOLLOWER WILL PICK UP THE PASSENGERS. T391. MLX BLOCK 78 ON SPACE FROM WAGON RD PNR. RE-SPACED TO WAGON RD PNR.
6/21/2018 9:59:00 AM,2463463,6318,16,57,0405,COOLANT LEAK/SLIGHT/BUS ATTEMPTED TO DIE ON THE WAY OUT HERE/ST/T317/NO LX AVAILABLE/RESP CFX BDWY
6/21/2018 9:04:00 AM,2463452,9369,83,22,0610,OP HAD ALARM GO OFF AND THEN BUS SHUT DOWN / CALLED EM MAINT / EM WILL SEND T-TRUCK
6/21/2018 7:06:00 AM,2463425,1521,CV,70,0605,OP FRONT DOOR AIR LIGHT ON BUS ONLY GOES 8MPH / T-TRUCK 391 ON WAY / OP FLUID LEAKING / BUS HEADED BACK TO DIV
6/21/2018 5:16:00 AM,2463332,LRV226,101,5,3100,226 C-TRUCK CUT OUT DUE TO BRAKE FAULT AND BLUE LIGHT ON. HAPPENED WHEN TRAIN WAS BRAKING INTO STATIONS AND CLEARED FOR ABOUT FIVE KEY DOWNS/ UP BUT EVENTUALLY HAD TO BE CUT OUT.
6/20/2018 9:30:00 PM,2463123,3603,FF,10,0028,THE FRONT DOOR OPEN LIGHT IS ON AND THE BUS WILL ONLY GO 5 MPH .BUS IS EMPTY AND OPERATOR WILL TRY TO GET THE BUS BACK TO THE DIVISION.
6/20/2018 9:41:00 PM,2463111,LRV297,101,20,3138,BCU AND TCU FAULTS ON LRV 297 HAD TO CUT OUT ALL THE BRAKES IN THE CONSIST   CAB A
6/20/2018 5:47:00 PM,2463055,6092,15,10,0022,REGEN LIGHT ON CK ENG AND ALARM/ CALLED EM TO ARRANGE TRADE OUT FRONT //
6/20/2018 5:43:00 PM,2463052,6065,42,20,0022,STOP ENGINE /CHK ENG CHKING FOR LEAKS // CALLED T TRUCK TO CK OUT //FOLLOWER 6098 TO PICK UP PAX /LAST TRIP CURTAILED
6/20/2018 4:07:00 PM,2463025,3941,323,41,0022,STOP ENGINE AND LOW COOLANT LIGHTS; BUS DIED; -41 MIN
6/20/2018 4:11:00 PM,2463009,3918,27,47,0705,BUS WOULD NOT GO INTO GEAR; -47 MIN
6/20/2018 4:01:00 PM,2463004,LRV310,101,11,3100,FRICTION BRAKE C TRUCKý KEY OUT UP DIDN`T CLEAR. AT RESTRICTED TO SOUTHMOORý PARTIAL LOSS BELLVIEW TO ALAMEDAý LRX 50 IN SERVICE NB 10TH AND OSAGE.   CAB A
6/20/2018 3:11:00 PM,2463001,6108,153,77,0160,CURBSIDE OUTER DUAL FLAT // CALLED EM TO SEND OUT T TRUCK TO CHANGE TIRE// CANCELLED TRIP AT 321P// REPAIRED AT 1630 TOLD OP TO DH TO CHAMBERS AND QUINCY NB AND CURTAILED TRIP TO 5
6/20/2018 1:53:00 PM,2462948,6141,100,56,0160,FLAT TIRE; -56 MIN
6/20/2018 2:58:00 PM,2462908,5133,225,42,0022,CHECK AND STOP ENGINE LIGHTS; BUS STALLS; -38 MIN
6/20/2018 12:12:00 PM,2462866,6315,16L,18,0610,STALLS OPP RESETS/CHECK MIL/NO LEAKST391/COLFX WADS /1PM/GOOD BUS RUN LATE
6/20/2018 11:34:00 AM,2462825,9389,15L,81,1005,RAMP NOT WORKING/T391/15TH CHAMPA/ALL PAX OFF BUS ACCMD FOLLOWER/GOT REPAIRED/DH TO AURORA STN 118PM/CNX TRIP
6/20/2018 5:16:00 AM,2462646,1504,LD,63,0022,CK ENG LIGHT; NO POWER
6/19/2018 4:32:00 PM,2462349,5145,3,29,0028,FRONT DOOR -29
6/19/2018 5:07:00 PM,2462342,1518,RX,74,0315,OP REPORTED THAT THE BRAKE PRESSURE IS LOW/ATTEMPTED A RE START/CALLED T391/BUS AIREDý MOVING TO 16TH AND LINCOLN TO CHECK/RUN DROPPED
6/19/2018 4:03:00 PM,2462326,6073,105,10,0022,OP CK ENG LIGHT ý NO VOLT AND NO CHARGE LIGHT ON / TRADED AT CNTR PARK / RESPACED TO COLFAX AND HAVANA START SB TRIP
6/19/2018 3:45:00 PM,2462321,6033,0,23,0022,ALARM SOUND / WILL NOT STOP / T-391 RESET ALARM / CANCELLED TRIP / RESPASED OP TO I-25 & BROADWAY / WILL PICK UP WB TRIP 4:39PM
6/19/2018 12:41:00 PM,2462235,6264,45,76,0405,COOLANT LEAK/ST/EM RR TRK/GOT TO GO RESP CENTRAL PARK 218PM
6/19/2018 1:44:00 PM,2462226,5198,228,6,0505,STOP ENGINE LIGHT ON BUS DIED. NO LEAKS. FTL SENDING LX TO TRADE
6/19/2018 12:53:00 PM,2462202,5071,40,38,0505,NO START -38 MIN
6/19/2018 7:02:00 AM,2462070,1810,FMR,63,0610,STALLED /CHECK ENGNSTOPPED/ST/T391/TO PL FOR TRADE ?1811
6/19/2018 7:07:00 AM,2462051,5056,55L,26,0505,NO START-26 MINS
6/18/2018 10:47:00 PM,2461793,6032,0,52,0405,STOP ENG COOLANT SPEED SW ETC?.LX T/1054 BUS BROKE DOWN AT OXFORD/LX SENT THERE/PAX BOARDED FOLLOWER/RESP DUS/T391
6/18/2018 4:52:00 PM,2461705,5045,10,30,0610,ENGINE DIED; SERVICE TRUCK; -30 MIN
6/18/2018 3:58:00 PM,2461694,6164,52,78,0022,STOP ENGINE LIGHT; NO LOOP AVAIL; -78 MIN
6/18/2018 2:54:00 PM,2461683,6023,9,94,0022,THE CHECK TRANSMISSION LIGHT CAME ON FOLLOWED BY ENGINE SHUT DOWN. T391. RE-SPACED TO THE 17:07 TIME POINT.
6/18/2018 4:09:00 PM,2461682,9306,15L,5,0038,NEED MIRROR TO BE ADJUSTED/ CONTACT RUNNING REPAIR/ WILL HAVE MECH . MEET BUS AT EAST LOOP/ ADVISE OP TO PULL INSIDE LOOP
6/18/2018 3:02:00 PM,2461644,5232,20,96,0012,FLAT TIRE; OP SEAT LOSING AIR; -96 MIN
